"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3";"Inwonertal_54"
"36";"GM0375    ";"GM0375    ";"Beverwijk                                         ";"Beverwijk                                         ";"   42711"
"37";"GM0310    ";"GM0310    ";"De Bilt                                           ";"Bilt De                                           ";"   43884"
"38";"GM1728    ";"GM1728    ";"Bladel                                            ";"Bladel                                            ";"   21009"
"39";"GM0376    ";"GM0376    ";"Blaricum                                          ";"Blaricum                                          ";"   12490"
"40";"GM0377    ";"GM0377    ";"Bloemendaal                                       ";"Bloemendaal                                       ";"   23922"
"41";"GM1901    ";"GM1901    ";"Bodegraven-Reeuwijk                               ";"Bodegraven+Reeuwijk                               ";"   36308"
"42";"GM0755    ";"GM0755    ";"Boekel                                            ";"Boekel                                            ";"   11163"
"43";"GM1681    ";"GM1681    ";"Borger-Odoorn                                     ";"Borger+Odoorn                                     ";"   25919"
"44";"GM0147    ";"GM0147    ";"Borne                                             ";"Borne                                             ";"   24524"
"45";"GM0654    ";"GM0654    ";"Borsele                                           ";"Borsele                                           ";"   23159"
"46";"GM0757    ";"GM0757    ";"Boxtel                                            ";"Boxtel                                            ";"   33748"
"47";"GM0758    ";"GM0758    ";"Breda                                             ";"Breda                                             ";"  186438"
"48";"GM1876    ";"GM1876    ";"Bronckhorst                                       ";"Bronckhorst                                       ";"   36277"
"49";"GM0213    ";"GM0213    ";"Brummen                                           ";"Brummen                                           ";"   21105"
"50";"GM0899    ";"GM0899    ";"Brunssum                                          ";"Brunssum                                          ";"   27682"
"51";"GM0312    ";"GM0312    ";"Bunnik                                            ";"Bunnik                                            ";"   16026"
"52";"GM0313    ";"GM0313    ";"Bunschoten                                        ";"Bunschoten                                        ";"   22500"
"53";"GM0214    ";"GM0214    ";"Buren                                             ";"Buren                                             ";"   27725"
"54";"GM0502    ";"GM0502    ";"Capelle aan den IJssel                            ";"Capelle aan den IJssel                            ";"   67552"
"55";"GM0383    ";"GM0383    ";"Castricum                                         ";"Castricum                                         ";"   36345"
"56";"GM0109    ";"GM0109    ";"Coevorden                                         ";"Coevorden                                         ";"   35700"
"57";"GM1706    ";"GM1706    ";"Cranendonck                                       ";"Cranendonck                                       ";"   20851"
"58";"GM0216    ";"GM0216    ";"Culemborg                                         ";"Culemborg                                         ";"   29729"
"59";"GM0148    ";"GM0148    ";"Dalfsen                                           ";"Dalfsen                                           ";"   29612"
"60";"GM1891    ";"GM1891    ";"Dantumadiel                                       ";"Dantumadiel                                       ";"   19194"
"61";"GM0503    ";"GM0503    ";"Delft                                             ";"Delft                                             ";"  106086"
"62";"GM0762    ";"GM0762    ";"Deurne                                            ";"Deurne                                            ";"   32977"
"63";"GM0150    ";"GM0150    ";"Deventer                                          ";"Deventer                                          ";"  102781"
"64";"GM0384    ";"GM0384    ";"Diemen                                            ";"Diemen                                            ";"   32785"
"65";"GM1980    ";"GM1980    ";"Dijk en Waard                                     ";"Dijk+en+Waard                                     ";"   88985"
"66";"GM1774    ";"GM1774    ";"Dinkelland                                        ";"Dinkelland                                        ";"   26743"
"67";"GM0221    ";"GM0221    ";"Doesburg                                          ";"Doesburg                                          ";"   11081"
"68";"GM0222    ";"GM0222    ";"Doetinchem                                        ";"Doetinchem                                        ";"   59195"
"69";"GM0766    ";"GM0766    ";"Dongen                                            ";"Dongen                                            ";"   27200"
"70";"GM0505    ";"GM0505    ";"Dordrecht                                         ";"Dordrecht                                         ";"  121434"
"71";"GM0498    ";"GM0498    ";"Drechterland                                      ";"Drechterland                                      ";"   20385"
"72";"GM1719    ";"GM1719    ";"Drimmelen                                         ";"Drimmelen                                         ";"   27994"
"73";"GM0303    ";"GM0303    ";"Dronten                                           ";"Dronten                                           ";"   43593"
"74";"GM0225    ";"GM0225    ";"Druten                                            ";"Druten                                            ";"   19505"
"75";"GM0226    ";"GM0226    ";"Duiven                                            ";"Duiven                                            ";"   24937"
"76";"GM1711    ";"GM1711    ";"Echt-Susteren                                     ";"Echt+Susteren                                     ";"   31967"
"77";"GM0385    ";"GM0385    ";"Edam-Volendam                                     ";"Edam+Volendam                                     ";"   36760"
"78";"GM0228    ";"GM0228    ";"Ede                                               ";"Ede                                               ";"  122012"
"79";"GM0317    ";"GM0317    ";"Eemnes                                            ";"Eemnes                                            ";"    9598"
"80";"GM1979    ";"GM1979    ";"Eemsdelta                                         ";"Eemsdelta                                         ";"   45394"
"81";"GM0770    ";"GM0770    ";"Eersel                                            ";"Eersel                                            ";"   20004"
"82";"GM1903    ";"GM1903    ";"Eijsden-Margraten                                 ";"Eijsden+Margraten                                 ";"   25991"
"83";"GM0772    ";"GM0772    ";"Eindhoven                                         ";"Eindhoven                                         ";"  243730"
"84";"GM0230    ";"GM0230    ";"Elburg                                            ";"Elburg                                            ";"   24037"
"85";"GM0114    ";"GM0114    ";"Emmen                                             ";"Emmen                                             ";"  108765"
"86";"GM0388    ";"GM0388    ";"Enkhuizen                                         ";"Enkhuizen                                         ";"   18885"
"87";"GM0153    ";"GM0153    ";"Enschede                                          ";"Enschede                                          ";"  161235"
"88";"GM0232    ";"GM0232    ";"Epe                                               ";"Epe                                               ";"   33283"
"89";"GM0233    ";"GM0233    ";"Ermelo                                            ";"Ermelo                                            ";"   27496"
"90";"GM0777    ";"GM0777    ";"Etten-Leur                                        ";"Etten+Leur                                        ";"   44578"
"91";"GM1940    ";"GM1940    ";"De Fryske Marren                                  ";"Fryske Marren De                                  ";"   51992"
"92";"GM0779    ";"GM0779    ";"Geertruidenberg                                   ";"Geertruidenberg                                   ";"   22099"
"93";"GM1771    ";"GM1771    ";"Geldrop-Mierlo                                    ";"Geldrop+Mierlo                                    ";"   40441"
"94";"GM1652    ";"GM1652    ";"Gemert-Bakel                                      ";"Gemert+Bakel                                      ";"   31383"
"95";"GM0907    ";"GM0907    ";"Gennep                                            ";"Gennep                                            ";"   17764"
"96";"GM0784    ";"GM0784    ";"Gilze en Rijen                                    ";"Gilze en Rijen                                    ";"   26815"
"97";"GM1924    ";"GM1924    ";"Goeree-Overflakkee                                ";"Goeree+Overflakkee                                ";"   51590"
"98";"GM0664    ";"GM0664    ";"Goes                                              ";"Goes                                              ";"   39433"
"99";"GM0785    ";"GM0785    ";"Goirle                                            ";"Goirle                                            ";"   24177"
"100";"GM1942    ";"GM1942    ";"Gooise Meren                                      ";"Gooise Meren                                      ";"   60341"
"101";"GM0512    ";"GM0512    ";"Gorinchem                                         ";"Gorinchem                                         ";"   38461"
"102";"GM0513    ";"GM0513    ";"Gouda                                             ";"Gouda                                             ";"   75316"
"103";"GM0518    ";"GM0518    ";"'s-Gravenhage                                     ";"Gravenhage 's-                                    ";"  562839"
"104";"GM0014    ";"GM0014    ";"Groningen                                         ";"Groningen                                         ";"  238147"
"105";"GM1729    ";"GM1729    ";"Gulpen-Wittem                                     ";"Gulpen+Wittem                                     ";"   14210"
"106";"GM0158    ";"GM0158    ";"Haaksbergen                                       ";"Haaksbergen                                       ";"   24502"
"107";"GM0392    ";"GM0392    ";"Haarlem                                           ";"Haarlem                                           ";"  165396"
"108";"GM0394    ";"GM0394    ";"Haarlemmermeer                                    ";"Haarlemmermeer                                    ";"  162300"
