"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3";"Inwonertal_54"
"173";"GM1991    ";"GM1991    ";"Maashorst                                         ";"Maashorst                                         ";"   58934"
"174";"GM0556    ";"GM0556    ";"Maassluis                                         ";"Maassluis                                         ";"   35303"
"175";"GM0935    ";"GM0935    ";"Maastricht                                        ";"Maastricht                                        ";"  122734"
"176";"GM0420    ";"GM0420    ";"Medemblik                                         ";"Medemblik                                         ";"   46031"
"177";"GM0938    ";"GM0938    ";"Meerssen                                          ";"Meerssen                                          ";"   18600"
"178";"GM1948    ";"GM1948    ";"Meierijstad                                       ";"Meierijstad                                       ";"   83715"
"179";"GM0119    ";"GM0119    ";"Meppel                                            ";"Meppel                                            ";"   35464"
"180";"GM0687    ";"GM0687    ";"Middelburg                                        ";"Middelburg                                        ";"   49956"
"181";"GM1842    ";"GM1842    ";"Midden-Delfland                                   ";"Midden+Delfland                                   ";"   19472"
"182";"GM1731    ";"GM1731    ";"Midden-Drenthe                                    ";"Midden+Drenthe                                    ";"   33987"
"183";"GM1952    ";"GM1952    ";"Midden-Groningen                                  ";"Midden+Groningen                                  ";"   61554"
"184";"GM1709    ";"GM1709    ";"Moerdijk                                          ";"Moerdijk                                          ";"   37711"
"185";"GM1978    ";"GM1978    ";"Molenlanden                                       ";"Molenlanden                                       ";"   45158"
"186";"GM1955    ";"GM1955    ";"Montferland                                       ";"Montferland                                       ";"   36882"
"187";"GM0335    ";"GM0335    ";"Montfoort                                         ";"Montfoort                                         ";"   13929"
"188";"GM0944    ";"GM0944    ";"Mook en Middelaar                                 ";"Mook en Middelaar                                 ";"    8043"
"189";"GM1740    ";"GM1740    ";"Neder-Betuwe                                      ";"Neder+Betuwe                                      ";"   25448"
"190";"GM0946    ";"GM0946    ";"Nederweert                                        ";"Nederweert                                        ";"   17499"
"191";"GM0356    ";"GM0356    ";"Nieuwegein                                        ";"Nieuwegein                                        ";"   65426"
"192";"GM0569    ";"GM0569    ";"Nieuwkoop                                         ";"Nieuwkoop                                         ";"   29463"
"193";"GM0267    ";"GM0267    ";"Nijkerk                                           ";"Nijkerk                                           ";"   44975"
"194";"GM0268    ";"GM0268    ";"Nijmegen                                          ";"Nijmegen                                          ";"  182480"
"195";"GM1930    ";"GM1930    ";"Nissewaard                                        ";"Nissewaard                                        ";"   86833"
"196";"GM1970    ";"GM1970    ";"Noardeast-Fryslân                                 ";"Noardeast+Fryslân                                 ";"   45812"
"197";"GM1695    ";"GM1695    ";"Noord-Beveland                                    ";"Noord+Beveland                                    ";"    7857"
"198";"GM1699    ";"GM1699    ";"Noordenveld                                       ";"Noordenveld                                       ";"   31591"
"199";"GM0171    ";"GM0171    ";"Noordoostpolder                                   ";"Noordoostpolder                                   ";"   49729"
"200";"GM0575    ";"GM0575    ";"Noordwijk                                         ";"Noordwijk                                         ";"   45179"
"201";"GM0820    ";"GM0820    ";"Nuenen Gerwen en Nederwetten                     ";"Nuenen Gerwen en Nederwetten                     ";"   24015"
"202";"GM0302    ";"GM0302    ";"Nunspeet                                          ";"Nunspeet                                          ";"   28731"
"203";"GM0579    ";"GM0579    ";"Oegstgeest                                        ";"Oegstgeest                                        ";"   25746"
"204";"GM0823    ";"GM0823    ";"Oirschot                                          ";"Oirschot                                          ";"   19217"
"205";"GM0824    ";"GM0824    ";"Oisterwijk                                        ";"Oisterwijk                                        ";"   32941"
"206";"GM1895    ";"GM1895    ";"Oldambt                                           ";"Oldambt                                           ";"   39044"
"207";"GM0269    ";"GM0269    ";"Oldebroek                                         ";"Oldebroek                                         ";"   24264"
"208";"GM0173    ";"GM0173    ";"Oldenzaal                                         ";"Oldenzaal                                         ";"   31925"
"209";"GM1773    ";"GM1773    ";"Olst-Wijhe                                        ";"Olst+Wijhe                                        ";"   18682"
"210";"GM0175    ";"GM0175    ";"Ommen                                             ";"Ommen                                             ";"   18955"
"211";"GM1586    ";"GM1586    ";"Oost Gelre                                        ";"Oost Gelre                                        ";"   29846"
"212";"GM0826    ";"GM0826    ";"Oosterhout                                        ";"Oosterhout                                        ";"   57425"
"213";"GM0085    ";"GM0085    ";"Ooststellingwerf                                  ";"Ooststellingwerf                                  ";"   25837"
"214";"GM0431    ";"GM0431    ";"Oostzaan                                          ";"Oostzaan                                          ";"    9720"
"215";"GM0432    ";"GM0432    ";"Opmeer                                            ";"Opmeer                                            ";"   12180"
"216";"GM0086    ";"GM0086    ";"Opsterland                                        ";"Opsterland                                        ";"   30054"
"217";"GM0828    ";"GM0828    ";"Oss                                               ";"Oss                                               ";"   94437"
"218";"GM1509    ";"GM1509    ";"Oude IJsselstreek                                 ";"Oude IJsselstreek                                 ";"   39613"
"219";"GM0437    ";"GM0437    ";"Ouder-Amstel                                      ";"Ouder+Amstel                                      ";"   14276"
"220";"GM0589    ";"GM0589    ";"Oudewater                                         ";"Oudewater                                         ";"   10232"
"221";"GM1734    ";"GM1734    ";"Overbetuwe                                        ";"Overbetuwe                                        ";"   48707"
"222";"GM0590    ";"GM0590    ";"Papendrecht                                       ";"Papendrecht                                       ";"   32277"
"223";"GM1894    ";"GM1894    ";"Peel en Maas                                      ";"Peel en Maas                                      ";"   45276"
"224";"GM0765    ";"GM0765    ";"Pekela                                            ";"Pekela                                            ";"   12404"
"225";"GM1926    ";"GM1926    ";"Pijnacker-Nootdorp                                ";"Pijnacker+Nootdorp                                ";"   57672"
"226";"GM0439    ";"GM0439    ";"Purmerend                                         ";"Purmerend                                         ";"   93992"
"227";"GM0273    ";"GM0273    ";"Putten                                            ";"Putten                                            ";"   24904"
"228";"GM0177    ";"GM0177    ";"Raalte                                            ";"Raalte                                            ";"   38500"
"229";"GM0703    ";"GM0703    ";"Reimerswaal                                       ";"Reimerswaal                                       ";"   23255"
"230";"GM0274    ";"GM0274    ";"Renkum                                            ";"Renkum                                            ";"   31461"
"231";"GM0339    ";"GM0339    ";"Renswoude                                         ";"Renswoude                                         ";"    5747"
"232";"GM1667    ";"GM1667    ";"Reusel-De Mierden                                 ";"Reusel+De Mierden                                 ";"   13542"
"233";"GM0275    ";"GM0275    ";"Rheden                                            ";"Rheden                                            ";"   43570"
"234";"GM0340    ";"GM0340    ";"Rhenen                                            ";"Rhenen                                            ";"   20329"
"235";"GM0597    ";"GM0597    ";"Ridderkerk                                        ";"Ridderkerk                                        ";"   47477"
"236";"GM1742    ";"GM1742    ";"Rijssen-Holten                                    ";"Rijssen+Holten                                    ";"   38493"
"237";"GM0603    ";"GM0603    ";"Rijswijk                                          ";"Rijswijk                                          ";"   57997"
"238";"GM1669    ";"GM1669    ";"Roerdalen                                         ";"Roerdalen                                         ";"   20702"
"239";"GM0957    ";"GM0957    ";"Roermond                                          ";"Roermond                                          ";"   59981"
"240";"GM0736    ";"GM0736    ";"De Ronde Venen                                    ";"Ronde Venen De                                    ";"   45572"
"241";"GM1674    ";"GM1674    ";"Roosendaal                                        ";"Roosendaal                                        ";"   77613"
"242";"GM0599    ";"GM0599    ";"Rotterdam                                         ";"Rotterdam                                         ";"  663900"
"243";"GM0277    ";"GM0277    ";"Rozendaal                                         ";"Rozendaal                                         ";"    1754"
"244";"GM0840    ";"GM0840    ";"Rucphen                                           ";"Rucphen                                           ";"   23636"
"245";"GM0441    ";"GM0441    ";"Schagen                                           ";"Schagen                                           ";"   47450"
"246";"GM0279    ";"GM0279    ";"Scherpenzeel                                      ";"Scherpenzeel                                      ";"   10386"
"247";"GM0606    ";"GM0606    ";"Schiedam                                          ";"Schiedam                                          ";"   80628"
"248";"GM0088    ";"GM0088    ";"Schiermonnikoog                                   ";"Schiermonnikoog                                   ";"     982"
"249";"GM1676    ";"GM1676    ";"Schouwen-Duiveland                                ";"Schouwen+Duiveland                                ";"   34561"
"250";"GM0965    ";"GM0965    ";"Simpelveld                                        ";"Simpelveld                                        ";"   10396"
"251";"GM0845    ";"GM0845    ";"Sint-Michielsgestel                               ";"Sint+Michielsgestel                               ";"   30135"
"252";"GM1883    ";"GM1883    ";"Sittard-Geleen                                    ";"Sittard+Geleen                                    ";"   92234"
"253";"GM0610    ";"GM0610    ";"Sliedrecht                                        ";"Sliedrecht                                        ";"   26184"
"254";"GM1714    ";"GM1714    ";"Sluis                                             ";"Sluis                                             ";"   23243"
"255";"GM0090    ";"GM0090    ";"Smallingerland                                    ";"Smallingerland                                    ";"   56098"
"256";"GM0342    ";"GM0342    ";"Soest                                             ";"Soest                                             ";"   47439"
"257";"GM0847    ";"GM0847    ";"Someren                                           ";"Someren                                           ";"   20061"
"258";"GM0848    ";"GM0848    ";"Son en Breugel                                    ";"Son en Breugel                                    ";"   18010"
"259";"GM0037    ";"GM0037    ";"Stadskanaal                                       ";"Stadskanaal                                       ";"   32135"
"260";"GM0180    ";"GM0180    ";"Staphorst                                         ";"Staphorst                                         ";"   17628"
"261";"GM0532    ";"GM0532    ";"Stede Broec                                       ";"Stede Broec                                       ";"   22138"
"262";"GM0851    ";"GM0851    ";"Steenbergen                                       ";"Steenbergen                                       ";"   24610"
"263";"GM1708    ";"GM1708    ";"Steenwijkerland                                   ";"Steenwijkerland                                   ";"   45376"
"264";"GM0971    ";"GM0971    ";"Stein                                             ";"Stein                                             ";"   24772"
"265";"GM1904    ";"GM1904    ";"Stichtse Vecht                                    ";"Stichtse Vecht                                    ";"   65771"
"266";"GM1900    ";"GM1900    ";"Súdwest-Fryslân                                   ";"Sudwest-Fryslan                                   ";"   90883"
"267";"GM0715    ";"GM0715    ";"Terneuzen                                         ";"Terneuzen                                         ";"   54993"
